script,action,command
dev:agent:ollama,MOVE_TO_TOOLS,node scripts/dev-agent/ollama-assist.mjs
dev:agent:ollama-auto,MOVE_TO_TOOLS,node scripts/dev-agent/ollama-automation.mjs
dev:agent:ollama-write,MOVE_TO_TOOLS,node scripts/dev-agent/ollama-write.mjs
dev:agent:orchestrate,MOVE_TO_TOOLS,node scripts/dev-agent/orchestrate.mjs
dev:agent:subagent,MOVE_TO_TOOLS,node scripts/dev-agent/orchestrate.mjs
dev:agent:tramo-k,MOVE_TO_TOOLS,node scripts/dev-agent/orchestrate.mjs --tramo K
dev:ai,MOVE_TO_TOOLS,npm run dev -w @epis2/local-ai
dev:api,KEEP_ROOT,npm run dev -w @epis2/api
dev:auto:6h,MOVE_TO_TOOLS,node scripts/dev-agent/auto-dev-6h-runner.mjs
dev:auto:continuous,MOVE_TO_TOOLS,node scripts/dev-agent/auto-dev-continuous.mjs
dev:auto:cycle,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-dev-cycle-launcher.mjs
dev:auto:integrated,MOVE_TO_TOOLS,node scripts/dev-agent/auto-dev-parallel-launcher.mjs
dev:auto:orchestrate,MOVE_TO_TOOLS,node scripts/dev-agent/auto-dev-orchestrator.mjs
dev:auto:parallel,MOVE_TO_TOOLS,node scripts/dev-agent/auto-dev-parallel-launcher.mjs
dev:auto:preconditions,MOVE_TO_TOOLS,node scripts/dev-agent/auto-dev-preconditions.mjs
dev:auto:stop,MOVE_TO_TOOLS,node scripts/dev-agent/stop-auto-dev-session.mjs
dev:cycle:sync,MOVE_TO_TOOLS,node scripts/dev-agent/dev-cycle-sync.mjs
dev:dual-chart:session,MOVE_TO_TOOLS,node scripts/dev/dual-chart-session.mjs
dev:evolab:complement,MOVE_TO_TOOLS,node scripts/dev-agent/evolab-complement.mjs
dev:evolab:sync,MOVE_TO_TOOLS,node scripts/dev-agent/evolab-sync.mjs
dev:install-hooks,MOVE_TO_TOOLS,node scripts/dev/install-git-hooks.mjs
dev:openclaw:sync,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-sync.mjs
dev:rapid,MOVE_TO_TOOLS,node scripts/dev/run-dev-rapid.mjs
dev:session,MOVE_TO_TOOLS,node scripts/dev-agent/session.mjs
dev:velocity,MOVE_TO_TOOLS,node scripts/dev/velocity-start.mjs
dev:velocity:gates,MOVE_TO_TOOLS,node scripts/dev/velocity-gates.mjs
dev:web,KEEP_ROOT,npm run dev -w @epis2/web
drug-intel:correlate,MOVE_TO_LABS,npm run cli -w @epis2/drug-intel -- correlate
drug-intel:load,MOVE_TO_LABS,npm run cli -w @epis2/drug-intel -- load
drug-intel:report,MOVE_TO_LABS,npm run cli -w @epis2/drug-intel -- report
drug-intel:scrape,MOVE_TO_LABS,npm run cli -w @epis2/drug-intel -- scrape
evolab:doctor,MOVE_TO_LABS,node scripts/dev-agent/evolab-bridge.mjs doctor
evolab:evolve,MOVE_TO_LABS,node scripts/dev-agent/evolab-bridge.mjs evolve
evolab:findings,MOVE_TO_LABS,node scripts/dev-agent/evolab-bridge.mjs findings
evolab:plan,MOVE_TO_LABS,node scripts/dev-agent/evolab-bridge.mjs plan
evolab:queue,MOVE_TO_LABS,node scripts/dev-agent/evolab-bridge.mjs queue
evolab:smoke,MOVE_TO_LABS,node scripts/dev-agent/evolab-bridge.mjs smoke
evolab:stack,MOVE_TO_LABS,node scripts/dev-agent/evolab-bridge.mjs stack
evolab:validate,MOVE_TO_LABS,node scripts/dev-agent/evolab-bridge.mjs validate
figma:connect:preview,MOVE_TO_TOOLS,node scripts/dev/figma-connect-publish.mjs -- --dry-run
figma:connect:publish,MOVE_TO_TOOLS,node scripts/dev/figma-connect-publish.mjs
figma:verify,MOVE_TO_TOOLS,node scripts/dev/figma-connect-verify.mjs
format,KEEP_ROOT,prettier --write .
format:check,KEEP_ROOT,prettier --check .
legacy:audit,MOVE_TO_TOOLS,node scripts/legacy-audit/scan-donor-repositories.mjs && node scripts/legacy-audit/detect-forbidden-dependencies.mjs && node scripts/legacy-audit/detect-secrets-and-sensitive-data.mjs && node scripts/legacy-audit/detect-duplicate-registries.mjs && node scripts/legacy-audit/detect-legacy-routes.mjs
legacy:validate-manifest,MOVE_TO_TOOLS,node scripts/legacy-audit/validate-import-manifest.mjs
legacy:validate-quarantine,MOVE_TO_TOOLS,node scripts/legacy-audit/validate-quarantine.mjs
lint,KEEP_ROOT,eslint .
ollama:probe,MOVE_TO_TOOLS,node scripts/ollama/probe.mjs
ollama:route,MOVE_TO_TOOLS,node scripts/ollama/route.mjs
openclaw:brief,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-brief.mjs
openclaw:handoff,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-handoff.mjs
openclaw:policy,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-policy-check.mjs
openclaw:post-tramo,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-post-tramo.mjs
openclaw:programming,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-programming-support.mjs
openclaw:safe-patch,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-safe-patch.mjs
openclaw:safe-run,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-safe-run.mjs
openclaw:tramo,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-tramo.mjs
openclaw:verify-tramo,MOVE_TO_TOOLS,node scripts/dev-agent/openclaw-verify-tramo.mjs
qa:bundle-analyze,MOVE_TO_TOOLS,node scripts/qa/bundle-analyze.mjs
quality:ai,KEEP_ROOT,npm run quality:sh-03-degrade-gate && npm run quality:ai-client-gate && npm run quality:web-ai-boundary-gate
quality:ai-catalog-smoke-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ai-catalog-smoke-gate.mjs
quality:ai-client-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ai-client-gate.mjs
quality:ai-ext-inference-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ai-ext-inference-gate.mjs
quality:ai-otel-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ai-otel-gate.mjs
quality:ai-provenance-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ai-provenance-gate.mjs
quality:ai-tramo-evals-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ai-tramo-evals-gate.mjs
quality:auto-dev-6h-gate,MOVE_TO_TOOLS,node scripts/quality/validate-auto-dev-6h-gate.mjs
quality:autocomplete-gate,MOVE_TO_TOOLS,node scripts/quality/validate-autocomplete-gate.mjs
quality:bulk-actions-gate,MOVE_TO_TOOLS,node scripts/quality/validate-bulk-actions-gate.mjs
quality:calm-premium-signoff,MOVE_TO_TOOLS,node scripts/quality/capture-calm-premium-signoff.mjs
quality:case-intel-assist-gate,MOVE_TO_TOOLS,node scripts/quality/validate-case-intel-assist-gate.mjs
quality:case-intel-catalog-gate,MOVE_TO_TOOLS,node scripts/quality/validate-case-intel-catalog-gate.mjs
quality:case-intel-closure-gate,MOVE_TO_TOOLS,node scripts/quality/validate-case-intel-closure-gate.mjs
quality:case-intel-gate,MOVE_TO_TOOLS,npm run quality:case-intel-catalog-gate && npm run quality:case-intel-promote-gate && npm run quality:case-intel-assist-gate
quality:case-intel-promote-gate,MOVE_TO_TOOLS,node scripts/quality/validate-case-intel-promote-gate.mjs
quality:cds-hooks-gate,MOVE_TO_TOOLS,node scripts/quality/validate-cds-hooks-gate.mjs
quality:ci-parity,MOVE_TO_TOOLS,node scripts/quality/validate-ci-test-parity.mjs
quality:classic-actionrail-gate,ARCHIVE,node scripts/quality/validate-classic-actionrail-gate.mjs
quality:classic-commandbar-gate,ARCHIVE,node scripts/quality/validate-classic-commandbar-gate.mjs
quality:classic-fixed-panels-gate,ARCHIVE,node scripts/quality/validate-classic-fixed-panels-gate.mjs
quality:classic-md3-ai-mode-gate,ARCHIVE,node scripts/quality/validate-classic-md3-ai-mode-gate.mjs
quality:classic-md3-mode-gate,ARCHIVE,node scripts/quality/validate-classic-md3-mode-gate.mjs
quality:classic-mode-isolation-gate,ARCHIVE,node scripts/quality/validate-classic-mode-isolation-gate.mjs
quality:classic-screenshot-advisory,ARCHIVE,node scripts/quality/validate-classic-screenshot-advisory.mjs
quality:classic-screenshot-capture,ARCHIVE,node scripts/qa/classic-md3-screenshots.mjs
quality:classic-statusbar-gate,ARCHIVE,node scripts/quality/validate-classic-statusbar-gate.mjs
quality:classic-supporting-pane-gate,ARCHIVE,node scripts/quality/validate-classic-supporting-pane-gate.mjs
quality:clinical,KEEP_ROOT,node scripts/quality/run-quality-clinical.mjs
quality:clinical-ai-text-safety-gate,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-ai-text-safety-gate.mjs
quality:clinical-form-rhf-gate,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-form-rhf-gate.mjs
quality:clinical-grid-gate,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-grid-gate.mjs
quality:clinical-productivity-gate,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-productivity-gate.mjs
quality:clinical-snippets-gate,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-snippets-gate.mjs
quality:clinical-spellcheck-gate,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-spellcheck-gate.mjs
quality:clinical-spellcheck-integration,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-spellcheck-integration.mjs
quality:clinical-textbox-assist-gate,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-textbox-assist-gate.mjs
quality:clinical-textbox-gate,MOVE_TO_TOOLS,node scripts/quality/validate-clinical-textbox-gate.mjs
quality:cm-01-barra-gate,ARCHIVE,node scripts/quality/validate-cm-01-barra-gate.mjs
quality:cm-02-palette-gate,ARCHIVE,node scripts/quality/validate-cm-02-palette-gate.mjs
quality:cm-03-assist-route-gate,ARCHIVE,node scripts/quality/validate-cm-03-assist-route-gate.mjs
quality:cm-04-context-gate,ARCHIVE,node scripts/quality/validate-cm-04-context-gate.mjs
quality:cm-05-panel-ia-gate,ARCHIVE,node scripts/quality/validate-cm-05-panel-ia-gate.mjs
quality:cm-06-assist-draft-gate,ARCHIVE,node scripts/quality/validate-cm-06-assist-draft-gate.mjs
quality:cm-07-evals-gate,ARCHIVE,node scripts/quality/validate-cm-07-evals-gate.mjs
quality:cm-08-signoff-gate,ARCHIVE,node scripts/quality/validate-cm-08-signoff-gate.mjs
quality:command-center-googlebar-gate,MOVE_TO_TOOLS,node scripts/quality/validate-command-center-googlebar-gate.mjs
quality:command-center-hub-gate,MOVE_TO_TOOLS,node scripts/quality/validate-command-center-hub-gate.mjs
quality:command-center-layout-gate,MOVE_TO_TOOLS,node scripts/quality/validate-command-center-layout-gate.mjs
quality:command-palette-gate,MOVE_TO_TOOLS,node scripts/quality/validate-command-palette-gate.mjs
quality:copy-paste-safety-gate,MOVE_TO_TOOLS,node scripts/quality/validate-copy-paste-safety-gate.mjs
quality:dashboard-bulk-actions-gate,ARCHIVE,node scripts/quality/validate-dashboard-bulk-actions-gate.mjs
quality:dashboard-data-quality-gate,ARCHIVE,node scripts/quality/validate-dashboard-data-quality-gate.mjs
quality:dashboard-design-agents-gate,ARCHIVE,node scripts/quality/validate-dashboard-design-agents-gate.mjs
quality:dashboard-grid-surface-gate,ARCHIVE,node scripts/quality/validate-dashboard-grid-surface-gate.mjs
quality:dashboard-kpi-actionability-gate,ARCHIVE,node scripts/quality/validate-dashboard-kpi-actionability-gate.mjs
quality:dashboard-md3-mode-gate,ARCHIVE,node scripts/quality/validate-dashboard-md3-mode-gate.mjs
quality:dashboard-mode-isolation-gate,ARCHIVE,node scripts/quality/validate-dashboard-mode-isolation-gate.mjs
quality:dashboard-screenshot-advisory,ARCHIVE,node scripts/quality/validate-dashboard-screenshot-advisory.mjs
quality:design-agent-schemas-gate,MOVE_TO_TOOLS,node scripts/quality/validate-design-agent-schemas-gate.mjs
quality:design-agents-gate,MOVE_TO_TOOLS,node scripts/quality/validate-design-agents-gate.mjs
quality:design-mode-gate,MOVE_TO_TOOLS,node scripts/quality/validate-design-mode-gate.mjs
quality:dev-agent-low-risk-write-gate,MOVE_TO_TOOLS,node scripts/quality/validate-dev-agent-low-risk-write-gate.mjs
quality:dev-agent-ollama-automation-gate,MOVE_TO_TOOLS,node scripts/quality/validate-dev-agent-ollama-automation-gate.mjs
quality:dev-agent-orchestration-gate,MOVE_TO_TOOLS,node scripts/quality/validate-dev-agent-orchestration-gate.mjs
quality:dev-env-gate,MOVE_TO_TOOLS,node scripts/quality/validate-dev-env-gate.mjs
quality:di-autocomplete-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-autocomplete-gate.mjs
quality:di-context-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-context-gate.mjs
quality:di-journeys-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-journeys-gate.mjs
quality:di-memory-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-memory-gate.mjs
quality:di-next,MOVE_TO_TOOLS,node scripts/quality/di-next.mjs
quality:di-prefill-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-prefill-gate.mjs
quality:di-signoff-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-signoff-gate.mjs
quality:di-suggestions-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-suggestions-gate.mjs
quality:di-templates-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-templates-gate.mjs
quality:di-timeline-gate,MOVE_TO_TOOLS,node scripts/quality/validate-di-timeline-gate.mjs
quality:doc-screen-catalog-gate,MOVE_TO_TOOLS,node scripts/quality/validate-doc-screen-catalog-gate.mjs
quality:draft-trace-gate,MOVE_TO_TOOLS,node scripts/quality/validate-draft-trace-gate.mjs
quality:drag-drop-safety-gate,MOVE_TO_TOOLS,node scripts/quality/validate-drag-drop-safety-gate.mjs
quality:dual-chart-census-gate,ARCHIVE,node scripts/quality/validate-dual-chart-census-gate.mjs
quality:dual-chart-gate,ARCHIVE,node scripts/quality/validate-dual-chart-gate.mjs
quality:dual-chart-launcher-gate,ARCHIVE,node scripts/quality/validate-dual-chart-launcher-gate.mjs
quality:dual-chart-ledger,ARCHIVE,node scripts/quality/validate-dual-chart-ledger.mjs
quality:dual-chart-legacy-freeze-gate,ARCHIVE,node scripts/quality/validate-dual-chart-legacy-freeze-gate.mjs
quality:dual-chart-next,ARCHIVE,node scripts/quality/dual-chart-next.mjs
quality:dual-chart-paper-layout-gate,ARCHIVE,node scripts/quality/validate-dual-chart-paper-layout-gate.mjs
quality:dual-chart-paper-sot-gate,ARCHIVE,node scripts/quality/validate-dual-chart-paper-sot-gate.mjs
quality:dual-chart-plan,ARCHIVE,node scripts/quality/run-dual-chart-plan.mjs
quality:dual-chart-router-gate,ARCHIVE,node scripts/quality/validate-dual-chart-router-gate.mjs
quality:dual-chart-scaffold-gate,ARCHIVE,node scripts/quality/validate-dual-chart-scaffold-gate.mjs
quality:dual-chart-shell-anatomy-gate,ARCHIVE,node scripts/quality/validate-dual-chart-shell-anatomy-gate.mjs
quality:dual-chart-traditional-gate,ARCHIVE,node scripts/quality/validate-dual-chart-traditional-gate.mjs
quality:dual-chart-traditional-layout-gate,ARCHIVE,node scripts/quality/validate-dual-chart-traditional-layout-gate.mjs
quality:duplicate-actions-gate,MOVE_TO_TOOLS,node scripts/quality/validate-duplicate-actions-gate.mjs
quality:evolab-bridge-gate,MOVE_TO_TOOLS,node scripts/quality/validate-evolab-bridge-gate.mjs
quality:experiencia-core-signoff-gate,MOVE_TO_TOOLS,node scripts/quality/validate-experiencia-core-signoff-gate.mjs
quality:fast,KEEP_ROOT,node scripts/quality/run-quality-fast.mjs
quality:ficha-first-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ficha-first-gate.mjs
quality:ficha-first-next,MOVE_TO_TOOLS,node scripts/quality/ficha-first-next.mjs
quality:ficha-norm-benchmark-gate,ARCHIVE,node scripts/quality/validate-ficha-norm-benchmark-gate.mjs
quality:ficha-norm-demo-gate,ARCHIVE,node scripts/demo/audit-demo-cases.mjs
quality:ficha-norm-density-gate,ARCHIVE,node scripts/quality/validate-ficha-norm-density-gate.mjs
quality:ficha-norm-mirror-b1-gate,ARCHIVE,node scripts/quality/validate-ficha-norm-mirror-b1-gate.mjs
quality:ficha-norm-mirror-b2-gate,ARCHIVE,node scripts/quality/validate-ficha-norm-mirror-b2-gate.mjs
quality:ficha-norm-motion-gate,ARCHIVE,node scripts/quality/validate-ficha-norm-motion-gate.mjs
quality:ficha-norm-signoff-gate,ARCHIVE,node scripts/quality/validate-ficha-norm-signoff-gate.mjs
quality:ficha-norm-theme-gate,ARCHIVE,node scripts/quality/validate-ficha-norm-theme-gate.mjs
quality:ficha-norm-typography-gate,ARCHIVE,node scripts/quality/validate-ficha-norm-typography-gate.mjs
quality:form-collapse-gate,MOVE_TO_TOOLS,node scripts/quality/validate-form-collapse-gate.mjs
quality:form-screen-tree-gate,MOVE_TO_TOOLS,node scripts/quality/validate-form-screen-tree-gate.mjs
quality:full,KEEP_ROOT,node scripts/quality/run-quality-full.mjs
quality:golden-journey,MOVE_TO_TOOLS,npm run build -w @epis2/command-registry && npm run build -w @epis2/clinical-forms && npm run build -w @epis2/test-fixtures && vitest run tests/golden-clinical-journey.spec.ts tests/golden-clinical-journey.api.spec.ts
quality:grid-surface-gate,MOVE_TO_TOOLS,node scripts/quality/validate-grid-surface-gate.mjs
quality:icon-budget-gate,MOVE_TO_TOOLS,node scripts/quality/validate-icon-budget-gate.mjs
quality:im-02-embed-gate,MOVE_TO_TOOLS,node scripts/quality/validate-im-02-embed-gate.mjs
quality:interop-chile-gate,MOVE_TO_TOOLS,node scripts/quality/validate-interop-chile-gate.mjs
quality:layers-integration-gate,MOVE_TO_TOOLS,node scripts/quality/validate-layers-integration-gate.mjs
quality:local-ci,MOVE_TO_TOOLS,node scripts/quality/run-local-ci.mjs
quality:login-command-home-gate,MOVE_TO_TOOLS,node scripts/quality/validate-login-command-home-gate.mjs
quality:m3-human-pilot,ARCHIVE,node scripts/quality/run-m3-human-pilot.mjs
quality:m3-scaffold-gate,ARCHIVE,node scripts/quality/validate-m3-scaffold-gate.mjs
quality:m3-signoff,ARCHIVE,node scripts/quality/verify-m3-signoff.mjs
quality:m3-visual-pass,ARCHIVE,node scripts/quality/capture-m3-visual-pass.mjs
quality:medrepo-consumption-gate,MOVE_TO_TOOLS,node scripts/quality/validate-medrepo-consumption-gate.mjs
quality:microphase-next,MOVE_TO_TOOLS,node scripts/quality/microphase-next.mjs
quality:microphases,MOVE_TO_TOOLS,node scripts/quality/validate-microphase-ledger.mjs
quality:mode-guards-gate,MOVE_TO_TOOLS,node scripts/quality/validate-mode-guards-gate.mjs
quality:mode-safety-gate,MOVE_TO_TOOLS,node scripts/quality/validate-mode-safety-gate.mjs
quality:mode-switcher-gate,MOVE_TO_TOOLS,node scripts/quality/validate-mode-switcher-gate.mjs
quality:mode-transitions-gate,MOVE_TO_TOOLS,node scripts/quality/validate-mode-transitions-gate.mjs
quality:nightly,KEEP_ROOT,node tools/gates/run-gate.mjs nightly
quality:ola1c-imaging-gate,ARCHIVE,node scripts/quality/validate-ola1c-imaging-gate.mjs
quality:ola1c-journey-gate,ARCHIVE,node scripts/quality/validate-ola1c-journey-gate.mjs
quality:ola2-m3-ui-gate,ARCHIVE,node scripts/quality/validate-ola2-m3-ui-gate.mjs
quality:ola2-physical-exam-gate,ARCHIVE,node scripts/quality/validate-ola2-physical-exam-gate.mjs
quality:ola3-alerts-gate,ARCHIVE,node scripts/quality/validate-ola3-alerts-gate.mjs
quality:ola3-ficha-depth-gate,ARCHIVE,node scripts/quality/validate-ola3-ficha-depth-gate.mjs
quality:ola3-ficha-gate,ARCHIVE,node scripts/quality/validate-ola3-ficha-gate.mjs
quality:ola3-ficha-hub-gate,ARCHIVE,node scripts/quality/validate-ola3-ficha-hub-gate.mjs
quality:ola3-longitudinal-gate,ARCHIVE,node scripts/quality/validate-ola3-longitudinal-gate.mjs
quality:ola3-surgical-gate,ARCHIVE,node scripts/quality/validate-ola3-surgical-gate.mjs
quality:ola3-timeline-gate,ARCHIVE,node scripts/quality/validate-ola3-timeline-gate.mjs
quality:ola6a-print-gate,ARCHIVE,node scripts/quality/validate-ola6a-print-gate.mjs
quality:ollama-structured-output-gate,MOVE_TO_TOOLS,node scripts/quality/validate-ollama-structured-output-gate.mjs
quality:openapi-gate,MOVE_TO_TOOLS,node scripts/quality/validate-openapi-gate.mjs
quality:openclaw-cycle-gate,MOVE_TO_TOOLS,node scripts/quality/validate-openclaw-cycle-gate.mjs
quality:openclaw-gate,MOVE_TO_TOOLS,node scripts/quality/validate-openclaw-gate.mjs
quality:paper-chart-section-tree-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-chart-section-tree-gate.mjs
quality:paper-mode-ai-commands-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-ai-commands-gate.mjs
quality:paper-mode-ai-meta-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-ai-meta-gate.mjs
quality:paper-mode-doc-bridge-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-doc-bridge-gate.mjs
quality:paper-mode-fichapapel-reference-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-fichapapel-reference-gate.mjs
quality:paper-mode-fields-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-fields-gate.mjs
quality:paper-mode-nav-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-nav-gate.mjs
quality:paper-mode-next,MOVE_TO_TOOLS,node scripts/quality/paper-mode-next.mjs
quality:paper-mode-pagination-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-pagination-gate.mjs
quality:paper-mode-signoff-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-signoff-gate.mjs
quality:paper-mode-tokens-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-tokens-gate.mjs
quality:paper-mode-toolbar-gate,MOVE_TO_TOOLS,node scripts/quality/validate-paper-mode-toolbar-gate.mjs
quality:paper-planner-ai-gate,ARCHIVE,node scripts/quality/validate-paper-planner-ai-gate.mjs
quality:paper-planner-gates,ARCHIVE,npm run quality:paper-planner-scaffold-gate && npm run quality:paper-planner-week-gate && npm run quality:paper-planner-month-gate && npm run quality:paper-planner-print-gate && npm run quality:paper-planner-ai-gate
quality:paper-planner-month-gate,ARCHIVE,node scripts/quality/validate-paper-planner-month-gate.mjs
quality:paper-planner-print-gate,ARCHIVE,node scripts/quality/validate-paper-planner-print-gate.mjs
quality:paper-planner-scaffold-gate,ARCHIVE,node scripts/quality/validate-paper-planner-scaffold-gate.mjs
quality:paper-planner-week-gate,ARCHIVE,node scripts/quality/validate-paper-planner-week-gate.mjs
quality:pilot-trial,MOVE_TO_TOOLS,node scripts/quality/run-pilot-trial.mjs
